relative_path,expected_cdn_url,status,suggested_action,suggested_fix
"/images/interior/view-front-bedroom-1200.webp","https://d1t6lpjdsu4646.cloudfront.net/images/interior/view-front-bedroom-1200.webp",403,CHECK_PERMISSIONS,""
"/images/interior/view-hallway-1200.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/view-hallway-1200.jpg",403,CHECK_PERMISSIONS,""
"/images/interior/view-hallway-1200.webp","https://d1t6lpjdsu4646.cloudfront.net/images/interior/view-hallway-1200.webp",403,CHECK_PERMISSIONS,""
"/images/interior/zen-room/zen-room-main-B90E9E42.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/zen-room/zen-room-main-B90E9E42.jpg",200,KEEP,""
"/images/interior/zen-room/zen-room-main.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/interior/zen-room/zen-room-main.jpg",403,CHECK_PERMISSIONS,""
"/images/locations/cairnsmore.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/locations/cairnsmore.jpg",200,KEEP,""
"/images/locations/castle-cary-pools.avif","https://d1t6lpjdsu4646.cloudfront.net/images/locations/castle-cary-pools.avif",200,KEEP,""
"/images/locations/ellangowan.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/locations/ellangowan.jpg",200,KEEP,""
"/images/locations/gem_rock.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/locations/gem_rock.jpg",403,CHECK_PERMISSIONS,""
"/images/locations/heritage_museum.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/locations/heritage_museum.jpg",403,CHECK_PERMISSIONS,""
"/images/locations/kirroughtree.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/locations/kirroughtree.jpg",200,KEEP,""
"/images/locations/mossyard.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/locations/mossyard.jpg",200,KEEP,""
"/images/locations/the-laird-s-inn.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/locations/the-laird-s-inn.jpg",200,KEEP,""
"/images/panos/back-bedroom-pano.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/back-bedroom-pano.jpg",200,KEEP,""
"/images/panos/back-bedroom-pano.webp","https://d1t6lpjdsu4646.cloudfront.net/images/panos/back-bedroom-pano.webp",200,KEEP,""
"/images/panos/bathroom-pano.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/bathroom-pano.jpg",200,KEEP,""
"/images/panos/bathroom-pano.webp","https://d1t6lpjdsu4646.cloudfront.net/images/panos/bathroom-pano.webp",200,KEEP,""
"/images/panos/drive-bottom-exterior-view.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/drive-bottom-exterior-view.jpg",200,KEEP,""
"/images/panos/front-bedroom-pano.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/front-bedroom-pano.jpg",200,KEEP,""
"/images/panos/front-bedroom-pano.webp","https://d1t6lpjdsu4646.cloudfront.net/images/panos/front-bedroom-pano.webp",200,KEEP,""
"/images/panos/garden-1-exterior-view.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/garden-1-exterior-view.jpg",200,KEEP,""
"/images/panos/garden-4-exterior-view.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/garden-4-exterior-view.jpg",200,KEEP,""
"/images/panos/garden-central-exterior-view.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/garden-central-exterior-view.jpg",200,KEEP,""
"/images/panos/hallway-pano.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/hallway-pano.jpg",200,KEEP,""
